2026-08-08 15:25:22 | WARNING  | main | RESPONSE GET /FileZilla.xml → 404 (1.8ms)
2026-08-08 15:25:23 | WARNING  | main | RESPONSE GET /winscp.ini → 404 (12.3ms)
2026-08-08 15:25:23 | WARNING  | main | RESPONSE GET /.ftpconfig → 404 (2.0ms)
2026-08-08 15:25:23 | WARNING  | main | RESPONSE GET /.remote-sync.json → 404 (2.0ms)
2026-08-08 15:25:24 | WARNING  | main | RESPONSE GET /nbproject/ → 404 (23.1ms)
2026-08-08 15:25:24 | WARNING  | main | RESPONSE GET /google-services.json → 404 (1.9ms)
2026-08-08 15:25:25 | WARNING  | main | RESPONSE GET /AndroidManifest.xml → 404 (2.2ms)
2026-08-08 15:25:25 | WARNING  | main | RESPONSE GET /Info.plist → 404 (2.3ms)
2026-08-08 15:25:25 | WARNING  | main | RESPONSE GET /firebase.json → 404 (1.8ms)
2026-08-08 15:25:26 | WARNING  | main | RESPONSE GET /.firebaserc → 404 (1.9ms)
2026-08-08 15:25:26 | WARNING  | main | RESPONSE GET /robots.txt → 404 (3.6ms)
2026-08-08 15:25:26 | WARNING  | main | RESPONSE GET /sitemap.xml → 404 (1.9ms)
2026-08-08 15:25:27 | WARNING  | main | RESPONSE GET /security.txt → 404 (1.9ms)
2026-08-08 15:25:27 | WARNING  | main | RESPONSE GET /.well-known/ → 404 (1.9ms)
2026-08-08 15:25:28 | WARNING  | main | RESPONSE GET /crossdomain.xml → 404 (28.2ms)
2026-08-08 15:25:28 | WARNING  | main | RESPONSE GET /clientaccesspolicy.xml → 404 (2.0ms)
2026-08-08 15:25:28 | WARNING  | main | RESPONSE GET /README.md → 404 (1.9ms)
2026-08-08 15:25:29 | WARNING  | main | RESPONSE GET /INSTALL.md → 404 (1.9ms)
2026-08-08 15:25:29 | WARNING  | main | RESPONSE GET /CHANGELOG.md → 404 (1.9ms)
2026-08-08 15:25:30 | WARNING  | main | RESPONSE GET /license.txt → 404 (5.9ms)
2026-08-08 15:25:30 | WARNING  | main | RESPONSE GET /LICENSE → 404 (2.0ms)
2026-08-08 15:25:30 | WARNING  | main | RESPONSE GET /test/ → 404 (2.9ms)
2026-08-08 15:25:31 | WARNING  | main | RESPONSE GET /tests/ → 404 (1.9ms)
2026-08-08 15:25:31 | WARNING  | main | RESPONSE GET /dev/ → 404 (2.6ms)
2026-08-08 15:25:31 | WARNING  | main | RESPONSE GET /staging/ → 404 (1.9ms)
2026-08-08 15:25:32 | WARNING  | main | RESPONSE GET /old/ → 404 (1.9ms)
2026-08-08 15:25:32 | WARNING  | main | RESPONSE GET /beta/ → 404 (1.9ms)
2026-08-08 15:25:33 | WARNING  | main | RESPONSE GET /demo/ → 404 (2.0ms)
2026-08-08 15:25:33 | WARNING  | main | RESPONSE GET //login → 404 (23.2ms)
2026-08-08 15:25:33 | WARNING  | main | RESPONSE GET //signin → 404 (1.9ms)
2026-08-08 15:25:34 | WARNING  | main | RESPONSE GET //register → 404 (1.9ms)
2026-08-08 15:25:34 | WARNING  | main | RESPONSE GET //forgot-password → 404 (1.9ms)
2026-08-08 15:25:34 | WARNING  | main | RESPONSE GET //wp-admin → 404 (2.1ms)
2026-08-08 15:25:35 | WARNING  | main | RESPONSE GET //wp-login.php → 404 (2.1ms)
2026-08-08 15:25:35 | WARNING  | main | RESPONSE GET //wp-config.php → 404 (1.9ms)
2026-08-08 15:25:36 | WARNING  | main | RESPONSE GET //adminer.php → 404 (2.0ms)
2026-08-08 15:25:36 | WARNING  | main | RESPONSE GET //myadmin/ → 404 (20.2ms)
